recipe_id,name,cuisine,instructions

1,Spaghetti Bolognese,Italian,"Boil pasta. Cook ground beef with onion and garlic. Add tomato sauce and simmer 20 minutes. Combine with pasta and serve."
2,Chicken Alfredo,Italian,"Cook pasta. Sauté chicken. Add cream, butter, and parmesan to make sauce. Combine with pasta."
3,Vegetable Stir Fry,Asian,"Heat oil in pan. Add vegetables and stir fry. Add soy sauce and cook until tender. Serve over rice."
4,Beef Tacos,Mexican,"Cook ground beef with spices. Warm tortillas. Fill with beef, lettuce, cheese, and salsa."
5,Grilled Chicken Salad,American,"Grill chicken. Toss lettuce, tomatoes, and cucumber. Slice chicken and place on top. Add dressing."
6,Shrimp Scampi,Italian,"Cook pasta. Sauté shrimp in butter and garlic. Add lemon juice. Toss with pasta."
7,Fried Rice,Asian,"Cook rice. Scramble eggs. Stir fry vegetables. Add rice and soy sauce. Mix well."
8,Omelette,French,"Beat eggs. Pour into pan. Add cheese and vegetables. Fold and cook."
9,Chicken Curry,Indian,"Cook chicken with onion, garlic, and spices. Add coconut milk. Simmer until tender. Serve with rice."
10,Caprese Sandwich,Italian,"Layer mozzarella, tomatoes, and basil on bread. Drizzle with olive oil."
11,Beef Stir Fry,Asian,"Cook beef strips. Add vegetables. Stir fry with soy sauce. Serve over rice."
12,Pasta Primavera,Italian,"Cook pasta. Sauté vegetables. Toss with olive oil and parmesan."
13,Turkey Sandwich,American,"Layer turkey, lettuce, tomato, and cheese on bread. Add mayo or mustard."
14,Banana Pancakes,American,"Mash banana. Mix with eggs and flour. Cook batter on skillet."
15,Lemon Garlic Salmon,Seafood,"Bake salmon with lemon, garlic, and olive oil at 400°F for 15 minutes."
16,Chicken Parmesan,Italian,"Bread chicken. Fry until golden. Top with tomato sauce and cheese. Bake until melted."
17,Beef Burger,American,"Form ground beef patties. Grill or pan-fry. Serve on bun with toppings."
18,BLT Sandwich,American,"Cook bacon. Layer bacon, lettuce, and tomato on toasted bread."
19,Margherita Pizza,Italian,"Spread tomato sauce on dough. Add mozzarella and basil. Bake until crust is golden."
20,Chicken Quesadilla,Mexican,"Fill tortilla with chicken and cheese. Cook in pan until crispy and melted."
21,Vegetable Soup,American,"Boil vegetables in broth. Simmer until tender. Season and serve."
22,Chicken Noodle Soup,American,"Cook chicken with broth. Add noodles and vegetables. Simmer until done."
23,Beef Chili,American,"Cook ground beef. Add beans, tomatoes, and spices. Simmer 30 minutes."
24,Egg Fried Rice,Asian,"Cook rice. Stir fry eggs. Add rice and soy sauce. Mix well."
25,Shrimp Tacos,Mexican,"Cook shrimp with spices. Fill tortillas with shrimp and toppings."
26,Grilled Salmon,Seafood,"Season salmon. Grill until cooked through."
27,Chicken Caesar Salad,American,"Grill chicken. Toss lettuce with dressing and parmesan. Add chicken."
28,Spinach Pasta,Italian,"Cook pasta. Toss with sautéed spinach and garlic."
29,Mac and Cheese,American,"Cook pasta. Mix with cheese sauce. Bake until bubbly."
30,Beef Stroganoff,Russian,"Cook beef. Add mushrooms and cream sauce. Serve over noodles."
31,Chicken Teriyaki,Asian,"Cook chicken. Add teriyaki sauce. Serve with rice."
32,Vegetable Curry,Indian,"Cook vegetables with spices and coconut milk. Simmer until tender."
33,Tuna Salad Sandwich,American,"Mix tuna with mayo. Serve on bread with lettuce."
34,Greek Salad,Greek,"Combine tomatoes, cucumber, olives, and feta. Drizzle with olive oil."
35,Chicken Fajitas,Mexican,"Cook chicken with peppers and onions. Serve in tortillas."
36,Beef Burrito,Mexican,"Fill tortilla with beef, rice, and beans. Wrap and serve."
37,Pesto Pasta,Italian,"Cook pasta. Toss with pesto and parmesan."
38,Garlic Bread,Italian,"Spread butter and garlic on bread. Bake until crispy."
39,Chicken Pot Pie,American,"Cook chicken and vegetables. Add to pie crust with sauce. Bake."
40,Beef Meatballs,Italian,"Mix beef with breadcrumbs and egg. Form balls and cook in sauce."
41,Vegetable Omelette,French,"Cook eggs with vegetables. Fold and serve."
42,Chicken Sandwich,American,"Grill chicken. Serve on bun with lettuce and sauce."
43,Avocado Toast,American,"Toast bread. Top with mashed avocado and seasoning."
44,Tomato Soup,American,"Cook tomatoes with broth. Blend until smooth."
45,Shrimp Alfredo,Italian,"Cook pasta. Add shrimp and cream sauce."
46,Chicken Stir Fry,Asian,"Cook chicken with vegetables. Add soy sauce and stir fry."
47,Beef Kebabs,Middle Eastern,"Skewer beef and vegetables. Grill until cooked."
48,Vegetable Pizza,Italian,"Top dough with vegetables and cheese. Bake."
49,Chicken Wrap,American,"Wrap chicken, lettuce, and sauce in tortilla."
50,Fish Tacos,Mexican,"Cook fish. Fill tortillas with fish and toppings."
51,Beef Lasagna,Italian,"Layer pasta, beef sauce, and cheese. Bake."
52,Chicken Alfredo Pizza,Italian,"Top pizza with chicken and alfredo sauce. Bake."
53,Vegetable Fried Rice,Asian,"Stir fry vegetables with rice and soy sauce."
54,Turkey Burger,American,"Cook turkey patty. Serve on bun."
55,Chicken Soup,American,"Boil chicken with vegetables and broth."
56,Beef Stir Fry,Asian,"Cook beef with vegetables and sauce."
57,Spinach Salad,American,"Toss spinach with dressing and toppings."
58,Chicken Pasta,Italian,"Cook pasta. Add chicken and sauce."
59,Vegetable Sandwich,American,"Layer vegetables on bread."
60,Beef Tacos,Mexican,"Cook beef. Fill tortillas."
61,Chicken Curry,Indian,"Cook chicken with spices and sauce."
62,Vegetable Curry,Indian,"Cook vegetables with curry sauce."
63,Shrimp Pasta,Italian,"Cook pasta. Add shrimp and sauce."
64,Grilled Cheese,American,"Cook bread with cheese until melted."
65,Chicken Pizza,Italian,"Top pizza with chicken and cheese."
66,Beef Pizza,Italian,"Top pizza with beef and cheese."
67,Vegetable Pasta,Italian,"Cook pasta with vegetables."
68,Chicken Rice Bowl,Asian,"Serve chicken over rice with vegetables."
69,Beef Rice Bowl,Asian,"Serve beef over rice with vegetables."
70,Vegetable Rice Bowl,Asian,"Serve vegetables over rice."
71,Chicken Salad Wrap,American,"Wrap chicken salad in tortilla."
72,Tuna Pasta,Italian,"Mix tuna with pasta and sauce."
73,Shrimp Fried Rice,Asian,"Cook shrimp with rice and vegetables."
74,Chicken Noodles,Asian,"Cook noodles with chicken and sauce."
75,Beef Noodles,Asian,"Cook noodles with beef and sauce."
76,Vegetable Noodles,Asian,"Cook noodles with vegetables."
77,Chicken Burrito,Mexican,"Wrap chicken, rice, and beans in tortilla."
78,Vegetable Burrito,Mexican,"Wrap vegetables and rice in tortilla."
79,Shrimp Burrito,Mexican,"Wrap shrimp and rice in tortilla."
80,Chicken Quesadilla,Mexican,"Cook tortilla with chicken and cheese."
81,Vegetable Quesadilla,Mexican,"Cook tortilla with vegetables and cheese."
82,Beef Quesadilla,Mexican,"Cook tortilla with beef and cheese."
83,Chicken Nachos,Mexican,"Top chips with chicken and cheese. Bake."
84,Beef Nachos,Mexican,"Top chips with beef and cheese. Bake."
85,Vegetable Nachos,Mexican,"Top chips with vegetables and cheese."
86,Chicken Pasta Bake,Italian,"Mix pasta, chicken, and sauce. Bake."
87,Beef Pasta Bake,Italian,"Mix pasta, beef, and sauce. Bake."
88,Vegetable Pasta Bake,Italian,"Mix pasta, vegetables, and sauce. Bake."
89,Chicken Soup Deluxe,American,"Cook chicken with vegetables and herbs."
90,Beef Soup,American,"Cook beef with vegetables and broth."
91,Vegetable Soup Deluxe,American,"Cook vegetables with broth and herbs."
92,Chicken Stir Fry Deluxe,Asian,"Cook chicken with vegetables and sauce."
93,Beef Stir Fry Deluxe,Asian,"Cook beef with vegetables and sauce."
94,Vegetable Stir Fry Deluxe,Asian,"Cook vegetables with sauce."
95,Chicken Pizza Deluxe,Italian,"Top pizza with chicken and vegetables."
96,Beef Pizza Deluxe,Italian,"Top pizza with beef and vegetables."
97,Vegetable Pizza Deluxe,Italian,"Top pizza with vegetables."
98,Chicken Rice Deluxe,Asian,"Serve chicken over rice with sauce."
99,Beef Rice Deluxe,Asian,"Serve beef over rice with sauce."
100,Vegetable Rice Deluxe,Asian,"Serve vegetables over rice."